label_is_ai,jitter_local_pct,jitter_rap_pct,jitter_ppq5_pct,shimmer_local_pct,shimmer_apq3_pct,shimmer_apq5_pct,hnr_mean_db,hnr_std_db,cpp,spectral_flatness,spectral_rolloff_95_hz,hf_energy_ratio,mfcc_dynamic_variance,silence_floor_db,breath_pause_ratio
0,1.334,0.755,0.811,5.312,3.064,3.361,16.07,2.79,0.106,0.09526,7115.4,0.068,33.22,-50.7,1.0
0,1.207,0.651,0.759,4.803,2.75,3.15,16.1,3.43,0.0931,0.11741,7131.6,0.0701,44.7,-50.2,1.0
0,1.236,0.594,0.73,5.104,2.88,3.423,15.78,4.69,0.0789,0.11483,7126.0,0.0697,61.85,-50.2,1.0
0,1.366,0.763,0.882,5.235,3.098,3.243,15.84,3.38,0.1031,0.13018,7142.5,0.0689,39.03,-50.3,1.0
0,1.297,0.731,0.762,4.97,2.847,3.221,16.19,3.08,0.0955,0.09223,7097.6,0.0678,40.74,-50.5,1.0
0,1.21,0.613,0.769,5.376,3.11,3.415,16.03,2.6,0.0835,0.08069,7097.2,0.0681,46.89,-50.5,1.0
0,1.248,0.695,0.783,5.208,3.02,3.256,16.2,2.73,0.1024,0.09944,7136.0,0.0685,36.43,-50.7,1.0
0,1.332,0.761,0.835,4.948,2.867,3.15,16.21,2.71,0.1048,0.0743,7094.5,0.0678,32.72,-50.6,1.0
0,1.281,0.712,0.785,5.028,2.943,3.267,16.21,2.97,0.1023,0.09396,7103.8,0.0677,34.58,-50.9,1.0
0,1.323,0.743,0.872,4.983,2.845,3.195,15.75,4.06,0.1012,0.12175,7140.6,0.0689,35.81,-50.3,1.0
0,1.238,0.658,0.761,5.374,3.108,3.254,15.83,3.6,0.0852,0.10036,7119.1,0.0688,51.05,-50.8,1.0
0,1.188,0.564,0.663,5.076,3.007,3.101,16.0,3.42,0.0784,0.10112,7123.1,0.0693,59.51,-50.8,1.0
0,1.167,0.625,0.75,5.441,3.082,3.342,15.87,3.85,0.0952,0.1301,7134.8,0.0685,48.47,-50.4,1.0
0,1.379,0.785,0.857,5.053,2.92,3.169,16.1,3.06,0.1052,0.07761,7082.0,0.0675,29.59,-50.8,1.0
0,1.199,0.654,0.741,5.243,3.051,3.215,16.13,2.78,0.0902,0.12027,7132.3,0.0693,50.93,-50.5,1.0
0,1.416,0.82,0.879,4.974,2.83,3.283,16.14,2.63,0.1031,0.10616,7127.7,0.0685,31.38,-50.5,1.0
0,1.211,0.674,0.74,5.428,3.178,3.373,15.94,3.85,0.0934,0.09296,7110.6,0.0687,40.94,-50.2,1.0
0,1.272,0.726,0.803,5.166,2.929,3.429,16.13,2.58,0.0996,0.09926,7105.2,0.0685,39.84,-50.3,1.0
0,1.207,0.586,0.708,5.232,3.094,3.192,16.11,2.95,0.081,0.08634,7118.3,0.0687,47.74,-50.4,1.0
0,1.123,0.598,0.691,4.909,2.84,3.113,16.23,2.68,0.0897,0.07664,7093.4,0.068,40.64,-50.2,1.0
0,1.247,0.711,0.77,4.941,2.874,3.142,16.22,3.22,0.1021,0.08577,7087.5,0.0679,36.32,-50.6,1.0
0,1.411,0.644,0.719,4.653,2.683,2.873,16.27,3.55,0.077,0.11502,7159.9,0.0704,65.85,-50.4,1.0
0,1.127,0.612,0.72,4.781,2.79,3.058,16.3,3.14,0.0945,0.10058,7107.5,0.0687,42.37,-50.5,1.0
0,1.115,0.59,0.66,4.986,2.84,3.054,15.9,3.9,0.083,0.11476,7124.9,0.0697,60.82,-50.3,1.0
0,1.248,0.721,0.771,5.292,3.111,3.245,15.76,3.98,0.1014,0.13057,7158.7,0.0693,41.67,-50.3,1.0
1,0.94,0.614,0.583,0.443,0.258,0.29,35.16,8.58,0.2181,0.10201,2057.8,0.0002,43.68,-91.7,0.0
1,0.656,0.289,0.277,0.48,0.275,0.309,36.69,8.08,0.0672,0.12352,1694.5,0.0001,76.39,-92.0,0.0
1,0.667,0.296,0.284,0.45,0.259,0.281,37.37,8.39,0.0863,0.08997,1470.7,0.0006,61.71,-91.8,0.0
1,0.735,0.459,0.451,0.465,0.274,0.281,36.1,7.88,0.1599,0.10831,1882.2,0.0003,48.99,-91.9,0.0
1,0.72,0.446,0.47,0.432,0.249,0.268,34.79,7.73,0.1955,0.08353,1788.4,0.0005,38.33,-91.9,0.0
1,0.854,0.548,0.511,0.444,0.257,0.284,34.8,8.21,0.1978,0.09987,1996.5,0.0004,45.34,-91.8,0.0
1,0.693,0.423,0.407,0.458,0.263,0.285,35.26,7.94,0.1317,0.10611,1802.7,0.0003,53.44,-92.4,0.0
1,0.846,0.538,0.53,0.464,0.268,0.292,33.97,8.68,0.2104,0.10753,2156.3,0.0007,46.42,-91.2,0.0
